AnimalID,SireID,DamID
PVBPC19G010413S,PVGSJ18G0011134M,PVGSJ18G000C175
PVBPC19G010442S,0,0
PVBPC19G010732S,0,0
PVBPC19G010774S,PVHTC18G0006013M,PVGSJ18G000C183
PVBPC19G010771S,PVGSJ18G0011082M,PVGSJ18G000A701
PVBPC19G010119S,PVHTC18G0006047M,PVGSJ18G000A978
PVBPC19G010954S,0,0
PVBPC19G010490S,PVGSJ18G0011097M,PVGSJ18G000A718
PVBPC19G010654S,0,0
PVBPC19G010728S,0,0
PVBPC19G010193S,0,0
PVBPC19G010401S,PVGSJ18G0011018M,PVGSJ18G000C153
PVBPC19G010908S,PVGSJ18G0011019M,PVGSJ18G000A566
PVBPC19G010691S,PVGSJ18G0011119M,PVGSJ18G000A745
PVBPC19G010684S,PVGSJ18G0011043M,PVGSJ18G000A990
PVBPC19G010673S,0,0
PVBPC19G010432S,0,0
PVBPC19G010196S,PVHTC18G0006047M,PVGSJ18G000A978
PVBPC19G010195S,PVHTC18G0006133M,PVGSJ18G000C171
PVBPC19G010473S,0,0
PVBPC19G010108S,PVHTC18G0006043M,PVGSJ18G000C157
PVBPC19G010123S,PVGSJ18G0011129M,PVGSJ18G000C178
PVBPC19G010024S,0,0
PVBPC19G010234S,0,0
PVBPC19G010789S,0,0
PVBPC19G010620S,PVHTC18G0006047M,PVGSJ18G000A749
PVBPC19G010526S,0,0
PVBPC19G010937S,PVHTC18G0006071M,PVGSJ18G000C016
PVBPC19G010116S,PVHTC18G0006133M,PVGSJ18G000C171
PVBPC19G010791S,PVHTC18G0006012M,PVGSJ18G000A911
PVBPC19G010987S,PVGSJ18G0011037M,PVGSJ18G000A794
PVBPC19G0006756M,0,PVHTC18G000T427
PVBPC19G0006786M,0,PVHTC18G000A593
PVBPC19G0006812M,0,PVHTC18G000A095
PVBPC19G000900A,0,PVHTC18G000A081
PVBPC19G000906A,0,PVHTC18G000A023
PVBPC19G000925A,0,PVHTC18G000T458
PVBPC19G000933A,0,PVHTC18G000T427
PVBPC19G000937A,0,PVHTC18G000T495
PVBPC19G000940A,0,PVHTC18G000A023
PVBPC19G000995A,0,PVHTC18G000A095
PVBPC19G000998A,0,PVHTC18G000A023
PVBPC19G010021A,PVHTC18G0006061M,PVHTC18G000B205
PVBPC19G010035A,PVHTC18G0006065M,PVHTC18G000A355
PVBPC19G010105A,PVHTC18G0006142M,PVHTC18G000B050
PVBPC19G010120A,PVHTC18G0006031M,PVHTC18G000R029
PVBPC19G010130A,PVHTC18G0006079M,PVHTC18G000R079
